IMG_0650.JPG.jpg: PSNR = 18.15, MSE = 0.02
IMG_0536.JPG.jpg: PSNR = 19.25, MSE = 0.01
IMG_0526.JPG.jpg: PSNR = 20.71, MSE = 0.01
IMG_0363.JPG.jpg: PSNR = 16.29, MSE = 0.02
I3_7.jpg: PSNR = 18.95, MSE = 0.01
I5_35.jpg: PSNR = 17.27, MSE = 0.02
I2_28.jpg: PSNR = 18.84, MSE = 0.01
I5_21.jpg: PSNR = 18.30, MSE = 0.01
I_206.jpg: PSNR = 20.47, MSE = 0.01
I2_14.jpg: PSNR = 18.54, MSE = 0.01
I5_1.jpg: PSNR = 19.34, MSE = 0.01
I_13.jpg: PSNR = 17.18, MSE = 0.02
IMG_0485.JPG.jpg: PSNR = 18.51, MSE = 0.01
I3_97.jpg: PSNR = 17.67, MSE = 0.02
I3_83.jpg: PSNR = 17.93, MSE = 0.02
IMG_0269.JPG.jpg: PSNR = 18.83, MSE = 0.01
I3_54.jpg: PSNR = 19.87, MSE = 0.01
I_158.jpg: PSNR = 18.02, MSE = 0.02
I3_40.jpg: PSNR = 17.94, MSE = 0.02
I_170.jpg: PSNR = 20.25, MSE = 0.01
IMG_0067.JPG.jpg: PSNR = 18.53, MSE = 0.01
I3_115.jpg: PSNR = 19.92, MSE = 0.01
I3_68.jpg: PSNR = 17.10, MSE = 0.02
IMG_0077.JPG.jpg: PSNR = 16.63, MSE = 0.02
I3_101.jpg: PSNR = 18.60, MSE = 0.01
I_164.jpg: PSNR = 19.65, MSE = 0.01
IMG_0083.JPG.jpg: PSNR = 19.05, MSE = 0.01
I_165.jpg: PSNR = 18.42, MSE = 0.01
I3_100.jpg: PSNR = 20.89, MSE = 0.01
I3_69.jpg: PSNR = 18.17, MSE = 0.02
I3_114.jpg: PSNR = 14.77, MSE = 0.03
IMG_0093.JPG.jpg: PSNR = 16.55, MSE = 0.02
I_171.jpg: PSNR = 15.88, MSE = 0.03
I3_41.jpg: PSNR = 19.41, MSE = 0.01
I_159.jpg: PSNR = 18.49, MSE = 0.01
I3_55.jpg: PSNR = 18.39, MSE = 0.01
I3_82.jpg: PSNR = 18.51, MSE = 0.01
I3_96.jpg: PSNR = 18.68, MSE = 0.01
IMG_0509.JPG.jpg: PSNR = 17.62, MSE = 0.02
IMG_0224.JPG.jpg: PSNR = 16.59, MSE = 0.02
IMG_0234.JPG.jpg: PSNR = 16.49, MSE = 0.02
IMG_0142.JPG.jpg: PSNR = 18.75, MSE = 0.01
I_12.jpg: PSNR = 18.37, MSE = 0.01
I2_15.jpg: PSNR = 19.98, MSE = 0.01
I_207.jpg: PSNR = 18.81, MSE = 0.01
IMG_0058.JPG.jpg: PSNR = 20.01, MSE = 0.01
I2_29.jpg: PSNR = 17.97, MSE = 0.02
I5_20.jpg: PSNR = 18.13, MSE = 0.02
IMG_0120.JPG.jpg: PSNR = 20.39, MSE = 0.01
I5_34.jpg: PSNR = 19.97, MSE = 0.01
IMG_0048.JPG.jpg: PSNR = 17.02, MSE = 0.02
IMG_0256.JPG.jpg: PSNR = 18.45, MSE = 0.01
I3_6.jpg: PSNR = 19.88, MSE = 0.01
IMG_0413.JPG.jpg: PSNR = 18.51, MSE = 0.01
IMG_0397.JPG.jpg: PSNR = 18.31, MSE = 0.01
I3_4.jpg: PSNR = 19.50, MSE = 0.01
I5_22.jpg: PSNR = 16.71, MSE = 0.02
I5_36.jpg: PSNR = 18.62, MSE = 0.01
I2_17.jpg: PSNR = 16.84, MSE = 0.02
